titulo,descricao,texto,data_post,sinaisSintomas,sinaisAlerta
Dor Crônica em Cuidados Paliativos,Reconhecendo a dor persistente,A dor é um dos sintomas mais comuns e deve ser avaliada de forma contínua.,2025-10-01,"Dor contínua, limitação de movimento","Dor súbita intensa, perda de consciência"
Fadiga Intensa no Paciente Terminal,Identificando sinais de esgotamento,A fadiga pode afetar a qualidade de vida e requer manejo multidisciplinar.,2025-09-18,"Cansaço extremo, fraqueza",Incapacidade de realizar atividades básicas
Falta de Apetite e Perda de Peso,Anorexia e caquexia em estágios avançados,Esses sintomas são frequentes e demandam suporte nutricional adequado.,2025-09-05,"Apetite reduzido, emagrecimento","Perda de peso acelerada, desidratação"
Dispneia e Dificuldade para Respirar,Sinais de desconforto respiratório,A sensação de falta de ar é comum e pode ser aliviada com oxigênio e posicionamento adequado.,2025-08-20,"Falta de ar leve, respiração acelerada","Cianose, respiração muito dificultada"
Ansiedade e Angústia Emocional,Aspectos psicológicos do paciente,O apoio emocional e espiritual é essencial no manejo paliativo.,2025-08-01,"Preocupação constante, inquietação","Crises de pânico, agitação grave"
Náuseas e Vômitos em Cuidados Paliativos,Identificando causas e controle,Podem estar relacionados a medicamentos ou à progressão da doença.,2025-07-15,"Enjoo, mal-estar","Vômitos persistentes, sinais de desidratação"
Confusão Mental e Delirium,Alterações cognitivas frequentes,É importante identificar causas reversíveis e oferecer ambiente calmo e seguro.,2025-07-02,"Desorientação leve, lapsos de memória","Alucinações, agitação intensa"
Insônia e Distúrbios do Sono,Impactos na qualidade de vida,A falta de sono pode agravar sintomas físicos e emocionais.,2025-06-25,"Dificuldade para dormir, despertares frequentes","Vigília prolongada, exaustão intensa"
Feridas e Lesões de Pele,Cuidados com integridade cutânea,As lesões exigem manejo adequado para evitar dor e infecção.,2025-06-10,"Vermelhidão, dor localizada","Infecção, mau odor, secreção"
Comunicação com a Família,Reconhecendo sinais de sofrimento familiar,A equipe deve apoiar e orientar familiares sobre o processo de fim de vida.,2025-05-30,"Tristeza, preocupação","Conflitos graves, desesperação"
